Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,1,RG16N100WCT-ND,RES SMD 100 OHM 0.05% 1/10W 0603,,1,0,0.92,0.92
2,5,TNP100KAACT-ND,RES 100K OHM 0.1% 1/8W 0603,,5,0,0.462,2.31
3,2,RG16N510WCT-ND,RES SMD 510 OHM 0.05% 1/10W 0603,,2,0,0.92,1.84
4,2,RG16N20.0KWCT-ND,RES SMD 20K OHM 0.05% 1/10W 0603,,2,0,0.92,1.84
5,2,RG16P200BCT-ND,RES SMD 200 OHM 0.1% 1/10W 0603,,2,0,0.41,0.82
6,1,AD8422BRMZ-ND,IC OPAMP INSTR 2.2MHZ RRO 8MSOP,,1,0,8.68,8.68
7,1,ADM7170ACPZ-3.0-R7CT-ND,IC REG LINEAR 3V 500MA 8LFCSP,,1,0,2.7,2.7
8,1,LT8582EDKD#PBF-ND,IC REG MULT CONFIG INV ADJ 24DFN,,1,0,8.18,8.18
9,1,576-3967-1-ND,IC REG BOOST ADJ 0.9A SOT23-5,,1,0,0.73,0.73
10,3,497-5561-1-ND,DIODE SCHOTTKY 40V 300MA SOD523,,3,0,0.36,1.08
11,2,160-1447-6-ND,LED RED CLEAR 0603 SMD,,2,0,3.79,7.58
12,2,160-1446-6-ND,LED GREEN CLEAR 0603 SMD,,2,0,3.79,7.58
13,2,P12KDBCT-ND,RES SMD 12K OHM 0.1% 1/10W 0603,,2,0,0.35,0.7
14,1,P143KDBCT-ND,RES SMD 143K OHM 0.1% 1/10W 0603,,1,0,0.35,0.35
15,1,P130KDBCT-ND,RES SMD 130K OHM 0.1% 1/10W 0603,,1,0,0.35,0.35
16,1,Y1606-1.0B-ND,RES SMD 1 OHM 1W 2516 WIDE,,1,0,16.56,16.56
17,2,A103067CT-ND,RES SMD 22 OHM 0.1% 1/16W 0603,,2,0,0.55,1.1
18,1,P2.0KDBCT-ND,RES SMD 2K OHM 0.1% 1/10W 0603,,1,0,0.35,0.35
19,1,P10KDBCT-ND,RES SMD 10K OHM 0.1% 1/10W 0603,,1,0,0.35,0.35
20,1,P30KDBCT-ND,RES SMD 30K OHM 0.1% 1/10W 0603,,1,0,0.35,0.35
21,2,P53.6KDBCT-ND,RES SMD 53.6KOHM 0.1% 1/10W 0603,,2,0,0.35,0.7
22,1,P6.04KDBCT-ND,RES SMD 6.04KOHM 0.1% 1/10W 0603,,1,0,0.35,0.35
23,1,A102234CT-ND,RES SMD 1M OHM 0.1% 1/16W 0603,,1,0,0.44,0.44
24,1,541-10MAYCT-ND,RES SMD 10M OHM 0.5% 1/10W 0603,,0,1,0.31,0.31
25,2,490-4780-1-ND,CAP CER 1000PF 100V X7R 0603,,2,0,0.1,0.2
26,2,490-1458-1-ND,CAP CER 2000PF 50V C0G/NP0 0603,,2,0,0.17,0.34
27,1,490-4781-1-ND,CAP CER 10000PF 100V X7R 0603,,1,0,0.1,0.1
28,5,445-9871-1-ND,CAP CER 0.1UF 25V X8R 0603,,5,0,0.28,1.4
29,2,587-4958-1-ND,CAP CER 1UF 50V X5R 0603,,2,0,0.3,0.6
30,5,445-9015-1-ND,CAP CER 10UF 25V X5R 0603,,0,5,0.96,4.8
31,5,1276-1900-1-ND,CAP CER 4.7UF 25V X5R 0603,,5,0,0.43,2.15
32,2,1276-1878-1-ND,CAP CER 2.2UF 25V X5R 0603,,2,0,0.29,0.58
33,1,296-19265-1-ND,IC SWITCH SPDT SOT23-6,,1,0,0.88,0.88
34,1,296-19804-1-ND,IC SWITCH SPDT SC70-6,,1,0,0.61,0.61
35,1,296-17906-1-ND,IC SWITCH DUAL SPST US8,,1,0,0.84,0.84
36,1,NDS8434CT-ND,MOSFET P-CH 20V 6.5A 8-SOIC,,1,0,1.82,1.82
37,5,732-2956-1-ND,FIXED IND 4.7UH 1A 160 MOHM SMD,,5,0,0.81,4.05
38,1,609-4618-1-ND,CONN USB MICRO B RECPT SMT R/A,,1,0,0.42,0.42
39,1,ADA4522-4ARUZ-ND,IC OPAMP 55V LN ZD 14TSSOP,,1,0,8.53,8.53
40,8,YAG1237CT-ND,RES SMD 1K OHM 0.1% 1/10W 0603,,8,0,0.34,2.72
41,1,490-1058-1-ND,FERRITE BEAD 60 OHM 1806 1LN,,1,0,0.32,0.32
42,10,1276-3486-1-ND ,RES 100K OHM 1% 1/8W 0603,,,,0.1,0.33
