Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,5,YAG1237CT-ND,RES SMD 1K OHM 0.1% 1/10W 0603,,5,0,0.34000,1.70,
2,3,RG16N100WCT-ND,RES SMD 100 OHM 0.05% 1/10W 0603,,3,0,0.92000,2.76,
3,15,TNP100KAACT-ND,RES 100K OHM 0.1% 1/8W 0603,,15,0,0.46200,6.93,
4,2,RG16N510WCT-ND,RES SMD 510 OHM 0.05% 1/10W 0603,,2,0,0.92000,1.84,
5,2,RG16N20.0KWCT-ND,RES SMD 20K OHM 0.05% 1/10W 0603,,2,0,0.92000,1.84,
6,2,RG16P200BCT-ND,RES SMD 200 OHM 0.1% 1/10W 0603,,2,0,0.41000,0.82,
7,1,AD8422BRMZ-ND,IC OPAMP INSTR 2.2MHZ RRO 8MSOP,,1,0,8.68000,8.68,
8,4,AD8629ARMZ-REELCT-ND,IC OPAMP ZERO-DRIFT 2.5MHZ 8MSOP,,4,0,4.16000,16.64,
9,1,ADM7170ACPZ-3.0-R7CT-ND,IC REG LINEAR 3V 500MA 8LFCSP,,1,0,2.70000,2.70,
10,1,LT8582EDKD#PBF-ND,IC REG MULT CONFIG INV ADJ 24DFN,,1,0,8.18000,8.18,
11,1,576-3967-1-ND,IC REG BOOST ADJ 0.9A SOT23-5,,1,0,0.73000,0.73,
12,3,497-5561-1-ND,DIODE SCHOTTKY 40V 300MA SOD523,,3,0,0.36000,1.08,
13,2,160-1447-6-ND,LED RED CLEAR 0603 SMD,,2,0,3.79000,7.58,
14,2,160-1446-6-ND,LED GREEN CLEAR 0603 SMD,,2,0,3.79000,7.58,
15,2,P12KDBCT-ND,RES SMD 12K OHM 0.1% 1/10W 0603,,2,0,0.35000,0.70,
16,1,P143KDBCT-ND,RES SMD 143K OHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
17,1,P130KDBCT-ND,RES SMD 130K OHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
18,1,Y1606-1.0B-ND,RES SMD 1 OHM 1W 2516 WIDE,,1,0,16.56000,16.56,
19,2,A103067CT-ND,RES SMD 22 OHM 0.1% 1/16W 0603,,2,0,0.55000,1.10,
20,1,P2.0KDBCT-ND,RES SMD 2K OHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
21,1,P10KDBCT-ND,RES SMD 10K OHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
22,1,P30KDBCT-ND,RES SMD 30K OHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
23,2,P53.6KDBCT-ND,RES SMD 53.6KOHM 0.1% 1/10W 0603,,2,0,0.35000,0.70,
24,1,P6.04KDBCT-ND,RES SMD 6.04KOHM 0.1% 1/10W 0603,,1,0,0.35000,0.35,
25,1,A102234CT-ND,RES SMD 1M OHM 0.1% 1/16W 0603,,1,0,0.44000,0.44,
26,1,541-10MAYCT-ND,RES SMD 10M OHM 0.5% 1/10W 0603,,0,1,0.31000,0.31,
27,2,490-4780-1-ND,CAP CER 1000PF 100V X7R 0603,,2,0,0.10000,0.20,
28,2,490-1458-1-ND,CAP CER 2000PF 50V C0G/NP0 0603,,2,0,0.17000,0.34,
29,1,490-4781-1-ND,CAP CER 10000PF 100V X7R 0603,,1,0,0.10000,0.10,
30,4,445-9871-1-ND,CAP CER 0.1UF 25V X8R 0603,,4,0,0.28000,1.12,
31,1,587-4958-1-ND,CAP CER 1UF 50V X5R 0603,,1,0,0.30000,0.30,
32,4,445-9015-1-ND,CAP CER 10UF 25V X5R 0603,,4,0,0.96000,3.84,
33,5,1276-1900-1-ND,CAP CER 4.7UF 25V X5R 0603,,5,0,0.43000,2.15,
34,2,1276-1878-1-ND,CAP CER 2.2UF 25V X5R 0603,,2,0,0.29000,0.58,
35,1,296-19265-1-ND,IC SWITCH SPDT SOT23-6,,1,0,0.88000,0.88,
36,1,296-19804-1-ND,IC SWITCH SPDT SC70-6,,1,0,0.61000,0.61,
37,1,296-17906-1-ND,IC SWITCH DUAL SPST US8,,1,0,0.84000,0.84,
38,1,NDS8434CT-ND,MOSFET P-CH 20V 6.5A 8-SOIC,,1,0,1.82000,1.82,
39,5,732-2956-1-ND,FIXED IND 4.7UH 1A 160 MOHM SMD,,5,0,0.81000,4.05,
