Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,5,RNCF0603TKY10K0CT-ND,RES 10K OHM 0.01% 1/10W 0603,,5,0,2.15000,10.75,
2,1,LTC6102IMS8-1#PBF-ND,IC OPAMP CURR SENSE 200KHZ 8MSOP,,1,0,4.54000,4.54,
3,1,ADA4528-2ARMZ-R7CT-ND,IC OPAMP ZERO-DRIFT 3.4MHZ 8MSOP,,1,0,4.74000,4.74,
4,2,A124686CT-ND,RES SMD 9.09 OHM 0.1% 1/16W 0603,,2,0,0.78000,1.56,
5,1,RNCF0805TKY1K00CT-ND,RES 1K OHM 0.01% 1/8W 0805,,1,0,2.15000,2.15,
6,1,Y1607-1.00-ND,RES SMD 1 OHM 1/2W 2516 WIDE,,1,0,12.30000,12.30,
7,1,490-12558-1-ND,CAP CER 0.1UF 16V X7R 0805,,1,0,0.12000,0.12,
8,2,RNCF0603AKT10R0CT-ND,RES 10 OHM 0.05% 1/10W 0603,,2,0,0.97000,1.94,
9,1,A103123CT-ND,RES SMD 6.2K OHM 0.1% 1/16W 0603,,1,0,0.68000,0.68,
10,1,399-13711-1-ND,CAP CER 0603 10PF 50V X7R 10% AU,,1,0,0.26000,0.26,
11,3,490-1047-1-ND,FERRITE BEAD 1 KOHM 0805 1LN,,3,0,0.17000,0.51,
12,5,490-1543-1-ND,CAP CER 1UF 10V X5R 0603,,5,0,0.12000,0.60,
13,1,490-1058-1-ND,FERRITE BEAD 60 OHM 1806 1LN,,1,0,0.32000,0.32,
14,3,ADM7170ACPZ-5.0-R7CT-ND,IC REG LINEAR 500MA 8LFCSP,,0,3,2.70000,8.10,
15,3,490-6065-1-ND,CAP CER 4.7UF 16V X7R 1206,,0,3,0.58000,1.74,
16,1,576-3967-1-ND,IC REG BOOST ADJ 0.9A SOT23-5,,1,0,0.73000,0.73,
17,1,490-11996-1-ND,CAP CER 2.2UF 10V X7R 0603,,1,0,0.45000,0.45,
18,1,497-5561-1-ND,DIODE SCHOTTKY 40V 300MA SOD523,,1,0,0.36000,0.36,
19,2,490-4774-1-ND,CAP CER 0.1UF 16V X7R 0603,,0,2,0.10000,0.20,
20,1,296-19265-1-ND,IC SWITCH SPDT SOT23-6,,1,0,0.88000,0.88,
21,7,MCT0603-10.0K-CFCT-ND,RES SMD 10K OHM 1% 1/8W 0603,,7,0,0.18000,1.26,
22,1,311-1.00MHRCT-ND,RES SMD 1M OHM 1% 1/10W 0603,,1,0,0.10000,0.10,
23,1,MCT0603-10.0M-CFCT-ND,RES SMD 10M OHM 1% 1/8W 0603,,1,0,0.27000,0.27,
24,1,160-1447-1-ND,LED RED CLEAR 0603 SMD,,1,0,0.29000,0.29,
25,1,160-1446-1-ND,LED GREEN CLEAR 0603 SMD,,1,0,0.29000,0.29,
26,2,160-1445-1-ND,LED ORANGE CLEAR 0603 SMD,,2,0,0.27000,0.54,
27,1,609-4618-1-ND,CONN USB MICRO B RECPT SMT R/A,,1,0,0.42000,0.42,
28,1,296-19804-1-ND,IC SWITCH SPDT SC70-6,,1,0,0.61000,0.61,
29,1,490-10563-1-ND,FIXED IND 10UH 1A 460 MOHM SMD,,1,0,0.22000,0.22,
30,1,160-1448-1-ND,LED YELLOW CLEAR 0603 SMD,,1,0,0.31000,0.31,
31,2,296-17906-1-ND,IC SWITCH DUAL SPST US8,,2,0,0.84000,1.68,
32,1,296-29034-1-ND,IC MONITOR PWR/CURR BIDIR 10MSOP,,1,0,2.88000,2.88,
33,7,490-1494-1-ND,CAP CER 1000PF 50V X7R 0603,,7,0,0.10000,0.70,
34,6,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,,6,0,0.10000,0.60,
35,2,490-12646-6-ND,CAP CER 10UF 10V X7R 0805,,2,0,4.11000,8.22,
36,8,311-100KHRCT-ND,RES SMD 100K OHM 1% 1/10W 0603,,8,0,0.10000,0.80,
37,1,P100KBSCT-ND,RES SMD 100K OHM 0.05% 1/8W 0805,,1,0,0.79000,0.79,
38,3,541-3956-1-ND,RES SMD 1 OHM 1% 1/10W 0603,,3,0,0.10000,0.30,
39,1,541-0.0SBCT-ND,RES SMD 0 OHM JUMPER 1/4W 0603,,1,0,0.17000,0.17,
40,1,490-4781-1-ND,CAP CER 10000PF 100V X7R 0603,,1,0,0.10000,0.10,
41,1,P29.4KDACT-ND,RES SMD 29.4K OHM 0.1% 1/8W 0805,,1,0,0.36000,0.36,
