ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Digi-Key,Mounted,Price
1,INA226AIDGSR,INA,MSOP-10,1,INA226AIDGSR,296-29034-1-ND,Yes,
2,3.3k 5%,"R1,R2",603,2,?,P3.3KGCT-ND ,Yes,
3,100k 5%,R3,603,1,?,P100KGCT-ND,Yes,
4,10 1%,"R4,R5",603,2,?,RNCP0603FTD10R0CT-ND ,Yes,
5,100n,"C1,C2,C3,C4,C5,C6,C10,C37,C40,C14,C15,C16,C17,C18,C19,C22,C23,C24,C26,C27",603,20,?,399-1097-1-ND ,Yes,
6,1 0.25%,R21,805,1,?,CRT0805-CY-1R00ELFCT-ND,Yes,
7,STM32F103RET6,CN,LQFP-64_10X10X05P,1,STM32F103RET6,497-17387-1-ND ,Yes,
8,ABS25 - Crystal 32.768kHz SMD,CRYSTAL,ABS25 - SMD CRYSTAL 32.768KHZ,1,ABS25-32.768KHZ-6-T,535-10240-1-ND,Yes,
9,8p,"C7,C8",603,2,?,490-16781-1-ND ,Yes,
10,10n,"C9,C39,C42",603,3,?,445-5662-1-ND,Yes,
11,1u,"C11,C25",603,2,?,1276-1182-1-ND,Yes,
12,CRYSTAL,16MHZ,HC49US,1,,535-9041-ND,No,
13,20p,"C12,C13",603,2,?,399-14498-1-ND,Yes,
14,10k,"R7,R8,R10,R11,R13",603,5,?,P10KGCT-ND,Yes,
15,FSMCTTR,RST,FSMCTTR,1,FSMCTTR,450-2133-1-ND,Yes,
16,LM3940IMP-3.3,REG3V3,SOT223,1,?,LM3940IMPX-3.3/NOPBCT-ND,Yes,
17,0.47u,C35,603,1,?,490-1539-1-ND,Yes,
18,60[OHM],"L4,L5",805,2,?,535-13420-1-ND,Yes,
19,0,R14,603,1,?,P0.0GCT-ND ,Yes,
20,TS5A4624DCKT,MUX,SC-70-6(SOT-363),1,TS5A4624DCKT,296-19804-1-ND,Yes,
21,LED-Red(0603),CN-ON,LED-0603,1,FC-DA1608UGK-520D10,160-1446-6-ND,Yes,
22,330,R6,603,1,?,YAG1314CT-ND,Yes,
23,Header-Male-2.54_1x2,"3V3_IN,BAT,HOUT",HDR-2X1/2.54,3,826629-2,732-5315-ND ,Yes,
24,4.7u,"C21,C38",CAP-D4.0XH5.5,2,?,PCE3931CT-ND,Yes,
25,33u,C36,805,1,?,445-5986-1-ND,Yes,
26,FT2232HL,BRIDGE,LQFP-64_10X10X05P,1,FT2232HL,768-1024-1-ND,Yes,
27,600R/0.5A,"L1,L2",603,2,742863160,732-2389-1-ND,Yes,
28,12k,R9,603,1,?,P12KGCT-ND,Yes,
29,CRYSTAL,12MHZ,HC49US,1,9B-12.000MEEJ-B,887-1238-ND,No,
30,27p,"C28,C29",603,2,?,490-6047-1-ND,Yes,
31,AT93C66B-SSHM-T,MEM,SOIC-8_150MIL,1,AT93C66B-SSHM-T,AT93C66B-SSHM-TCT-ND,Yes,
32,2.2k,R12,603,1,?,P2.2KGCT-ND,Yes,
33,4.7u,"C30,C20",603,2,?,1276-1045-1-ND,Yes,
34,Micro USB-B 5P_C40942,"USBCN,USBON",MICRO-USB-12,2,Micro USB-B 5P_C40942,609-4052-1-ND,Yes,
35,B2B-PH-K-S(LF)(SN),BAT-JST,PH-2A,1,B2B-PH-K-S(LF)(SN),455-1704-ND,Yes,
36,CONN-USB-Female,UOUT,CONN-USB-A,1,1001-002-01100,1175-1001-ND,Yes,
37,Header-Male-2.54_2x10,P2,HDR-10X2/2.54,1,?,609-3221-ND ,Yes,
